activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
8517243835,Afternoon Workout,2023-02-06,Functional-Cardio Workout,0,29.45,330,0,,NaN,,NaN,0,0,26,141.5,168,5.884,5,1,20,35,1,15,25,5,25,1,1,129,Medium Effort,3
8517243161,Afternoon Run,2023-02-06,Run,1.79,10.33,135,26,30.38843337,-97.7359627,30.38897828,-97.7358389,10.404,15.5232,27,152.9,170,5.175,2,5,5,15,5,20,25,5,5,30,20,135,Medium Effort,3
8504441796,Morning Run,2023-02-04,Run,10.83,66.47,893,57,30.27202467,-97.77181252,30.27291222,-97.77206515,9.7848,16.8984,13,168.5,195,6.037272727,11,25,50,80,5,35,35,5,35,25,20,315,High Effort,4
8499814764,Afternoon Workout,2023-02-03,Functional-Cardio Workout,0,36.85,271,0,,NaN,,NaN,0,0,24,128.3,171,6.14,6,1,30,25,1,10,25,5,35,1,1,134,Medium Effort,3
8495754250,Afternoon Workout,2023-02-02,Functional-Cardio Workout,0,31.9,396,0,,NaN,,NaN,0,0,23,149.3,174,5.311666667,6,1,25,35,1,20,25,5,35,1,1,149,Medium Effort,3
8490538352,Afternoon Workout,2023-02-01,Functional-Cardio Workout,0,41.6,457,0,,NaN,,NaN,0,0,22,145.7,179,6.923333333,6,1,35,40,1,20,30,5,35,1,1,169,High Effort,4
8479818986,Evening Workout,2023-01-31,Functional-Cardio Workout,0,42.6,454,0,,NaN,,NaN,0,0,29,139.2,174,7.095,6,1,35,40,1,15,25,5,35,1,1,159,High Effort,4
8484883685,Afternoon Workout,2023-01-31,Functional-Cardio Workout,0,20.03,185,0,,NaN,,NaN,0,0,13,126.3,150,4.002,5,1,15,15,1,10,15,1,25,1,1,85,No Effort,1
8484745146,Afternoon Run,2023-01-31,Run,7.05,55.42,573,77,30.3889492,-97.73566506,30.38907132,-97.73584795,8.7084,18.4968,13,151.5,169,6.91875,8,10,45,50,5,20,25,5,35,15,20,230,High Effort,4
8465791898,Morning Workout,2023-01-28,Functional-Cardio Workout,0,24.97,234,0,,NaN,,NaN,0,0,25,128.7,159,4.982,5,1,15,25,1,10,15,1,25,1,1,95,No Effort,1
8461910392,Afternoon Workout,2023-01-27,Functional-Cardio Workout,0,31.8,285,0,,NaN,,NaN,0,0,26,130.8,172,15.895,2,1,25,25,1,15,25,10,5,1,1,109,Low Effort,2
8457098599,Afternoon Workout,2023-01-26,Functional-Cardio Workout,0,36.15,375,0,,NaN,,NaN,0,0,29,139.7,175,5.158571429,7,1,30,35,1,15,30,5,35,1,1,154,High Effort,4
8452224343,Afternoon Ride,2023-01-25,Ride,0,33.88,220,0,,NaN,,NaN,0,0,25,110.2,136,33.88,1,1,25,25,1,10,15,20,5,5,5,112,Low Effort,2
8446679630,Afternoon Workout,2023-01-24,Functional-Cardio Workout,0,49.67,495,0,,NaN,,NaN,0,0,26,137.9,171,7.085714286,7,1,40,40,1,15,25,5,35,1,1,164,High Effort,4
8439721111,Lunch Yoga,2023-01-23,Yoga,0,37.3,119,0,,NaN,,NaN,0,0,29,86.3,115,37.3,1,1,30,15,1,5,10,20,5,1,1,89,No Effort,1
8429193772,Morning Run 16km,2023-01-21,Run,16.04,104.88,1275,79,30.27271835,-97.77215827,30.27208451,-97.77277661,9.6516,12.8844,18,156.5,181,6.161764706,17,30,50,100,5,30,30,5,35,25,15,325,High Effort,4
8424857940,Afternoon Workout,2023-01-20,Functional-Cardio Workout,0,31.57,229,0,,NaN,,NaN,0,0,26,115.9,154,15.785,2,1,25,25,1,10,15,10,5,1,1,94,No Effort,1
8419959787,Afternoon Workout,2023-01-19,Functional-Cardio Workout,0,77.7,667,0,,NaN,,NaN,0,0,27,136.6,169,12.945,6,1,50,60,1,15,25,10,35,1,1,199,High Effort,4
8415022100,Afternoon Trail Run,2023-01-18,TrailRun,4.86,39.73,404,92,30.40120857,-97.68505974,30.40150219,-97.68484684,8.0172,13.1256,23,146.5,161,9.93,4,5,30,40,5,20,15,5,20,15,15,170,High Effort,4
8409055741,Afternoon Workout,2023-01-17,Functional-Cardio Workout,0,76.75,825,0,,NaN,,NaN,0,0,29,150.2,179,15.338,5,1,50,80,1,20,30,10,25,1,1,219,High Effort,4
8403997888,Afternoon Workout,2023-01-16,Functional-Cardio Workout,0,61.48,586,0,,NaN,,NaN,0,0,28,143,181,10.24166667,6,1,50,50,1,15,30,10,35,1,1,194,High Effort,4
8398211855,Lunch Run,2023-01-15,Run,8.73,57.55,726,90,30.26451171,-97.75551198,30.27265465,-97.77288524,9.3024,20.2392,26,160.3,178,6.386666667,9,10,45,70,5,30,30,5,35,25,0,255,High Effort,4
8397964746,Lunch Workout,2023-01-15,Functional-Cardio Workout,0,14.65,191,0,,NaN,,NaN,0,0,26,151.2,174,14.65,1,1,5,15,1,20,25,10,5,1,1,84,No Effort,1
8387758742,Evening Workout,2023-01-14,Functional-Cardio Workout,0,33.48,258,0,,NaN,,NaN,0,0,27,118.6,157,8.365,4,1,25,25,1,10,15,5,20,1,1,104,Low Effort,2
8382922540,~18hr Fasted Run,2023-01-12,Run,12.36,89.93,997,130,30.38841954,-97.73617661,30.38912144,-97.73574041,8.3484,22.9824,18,151.5,179,6.91,13,25,50,90,10,20,30,5,35,15,0,280,High Effort,4
8377330507,Afternoon Mountain Bike Ride,2023-01-11,MountainBikeRide,12.44,62.42,510,169,30.40127604,-97.68454174,30.4014239,-97.68480065,12.7368,35.5176,27,126.9,159,31.185,2,20,50,50,10,10,15,20,5,15,30,225,High Effort,4
8371717528,Afternoon Workout,2023-01-10,Functional-Cardio Workout,0,26.02,289,0,,NaN,,NaN,0,0,31,137.4,163,8.66,3,1,20,25,1,15,15,5,10,1,1,94,No Effort,1
8366744076,Evening Workout,2023-01-10,Functional-Cardio Workout,0,31.57,311,0,,NaN,,NaN,0,0,28,137.3,173,5.253333333,6,1,25,35,1,15,25,5,35,1,1,144,Medium Effort,3
8361203713,Afternoon Workout,2023-01-08,Functional-Cardio Workout,0,32.68,310,0,,NaN,,NaN,0,0,31,138.6,174,16.345,2,1,25,35,1,15,25,10,5,1,1,119,Low Effort,2
